,imdb_title_id,title,original_title,year,date_published,genre,duration,country,production_company,avg_vote,votes,budget,weighted_average_vote,total_votes,mean_vote,median_vote,females_allages_avg_vote,lead_actor,support_actor,lead_director,lead_writer,month,production_number,lead_number,support_number,director_number,writer_number,0_Action,0_Adventure,0_Animation,0_Biography,0_Comedy,0_Crime,0_Drama,0_Family,0_Fantasy,0_History,0_Horror,0_Music,0_Musical,0_Mystery,0_News,0_Romance,0_Sci-Fi,0_Sport,0_Thriller,0_War,0_Western,avg_vote_round
1650,tt1506990,Wah Do Dem,Wah Do Dem,2009,2009-06-20,"Adventure, Comedy, Drama",76,USA,How follows what,6.6,333,0,6.6,333,6.8,7.0,6.5,Kevin Bewersdorf,Sean Bones,Ben Chace,Ben Chace,6,816,1549,6120,6212,2241,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
1651,tt1789090,Touch,Touch,2011,2012-03-30,Drama,110,USA,0,6.9,176,0,6.9,176,7.3,7.0,7.2,Porter Duong,John Ruby,Minh Duc Nguyen,Minh Duc Nguyen,3,0,3331,4043,4999,7660,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
1652,tt1792803,Ground Zero,Ground Zero,2010,2010-10-01,"Comedy, Horror",87,USA,0,4.6,107,0,4.6,107,5.2,5.0,5.3,Mike Langer,Sahna Foley,Channing Lowe,Steve Darling,10,0,4149,5951,3964,3930,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4
1653,tt1811371,Underground,Underground,2011,2011-12-29,Horror,87,USA,0,3.8,1569,0,3.8,1569,4.4,4.0,3.7,Jacob D. Woody,Sofia Pernas,Rafael Eisenman,Charles Morris Jr.,12,0,2838,1287,6769,7876,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
1654,tt3560658,Missione suicida,Operation Rogue,2014,2014-09-24,"Action, Crime, Thriller",88,USA,New Horizons Picture,4.3,576,0,4.3,576,4.6,5.0,5.1,Mark Dacascos,Sofia Pernas,Brian Clyde,Mike MacLean,9,424,1042,1287,3225,1116,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4
1655,tt2098627,Attack of the 50 Foot Cheerleader,Attack of the 50 Foot Cheerleader,2012,2012,Comedy,83,USA,New Horizons Picture,4.4,1088,1000000,4.4,1088,4.9,5.0,4.1,Jena Sims,Sean Young,Kevin O'Neill,Mike MacLean,0,424,3724,69,1817,1116,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
1656,tt2023714,Sun Don't Shine,Sun Don't Shine,2012,2012-11-29,"Crime, Drama, Horror",90,USA,0,6.1,753,0,6.1,753,6.2,6.0,6.0,Kate Lyn Sheil,Kentucker Audley,Amy Seimetz,Amy Seimetz,11,0,155,615,1480,1255,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6
1657,tt11614912,She Dies Tomorrow,She Dies Tomorrow,2020,2020-08-07,"Comedy, Drama, Mystery",86,USA,Rustic Films,5.2,1900,0,5.2,1900,5.0,5.0,4.8,Kate Lyn Sheil,Jane Adams,Amy Seimetz,Amy Seimetz,8,561,155,811,1480,1255,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5
1658,tt1826684,Green,Green,2011,2012-09-07,"Drama, Thriller",73,USA,Reality Pictures,5.4,298,0,5.4,298,5.6,6.0,5.6,Kate Lyn Sheil,Sophia Takal,Sophia Takal,Sophia Takal,9,5654,155,377,766,7702,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5
1659,tt4392770,Always Shine,Always Shine,2016,2016-11-25,"Drama, Horror, Mystery",85,USA,Little Teeth Pictures,5.6,3909,0,5.6,3909,5.6,6.0,5.8,Mackenzie Davis,Caitlin FitzGerald,Sophia Takal,Lawrence Michael Levine,11,558,767,1519,766,210,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,5
